"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Syndra","ADC",3,"3.2%","45.7%","77.7%","67%","100%",8,5,13,4.2,"53.8%","15.2%","0%",226,210,9.7,8.8,"28.8%",458,"25.7%","24.1%",0.35,0.19
"Syndra","Middle",27,"28.7%","45.7%","77.7%","74%","26%",104,40,111,5.4,"66.6%","17.1%","7%",121,17,5.1,8.8,"27.2%",525,"29.5%","24.9%",0.48,0.18
"Tahm Kench","Support",42,"44.7%","29.8%","74.5%","43%","24%",17,91,249,2.9,"63.0%","20.8%","17%",-41,20,-0.4,1,"2.3%",110,"6.6%","8.5%",1.4,0.24
"Taliyah","Middle",3,"3.2%","4.3%","7.4%","67%","67%",9,5,26,7,"64.8%","17.9%","67%",-195,-168,-9.3,7.6,"26.3%",523,"27.9%","20.9%",0.41,0.12
"Taric","Support",4,"4.3%","3.2%","7.4%","50%","50%",0,4,20,5,"83.3%","16.7%","25%",9,238,2.5,1.2,"2.9%",75,"5.4%","9.1%",1.24,0.37
"Thresh","Support",22,"23.4%","9.6%","33.0%","45%","55%",20,52,125,2.8,"69.4%","21.2%","27%",25,45,-0.8,1,"2.5%",89,"5.8%","9.0%",1.47,0.37
"Tristana","ADC",1,"1.1%","0.0%","1.1%","100%","100%",5,0,2,7,"87.5%","0.0%","0%",112,-30,2,10.6,"36.4%",457,"33.9%","31.8%",0.34,0.37
"Trundle","Jungle",14,"14.9%","8.5%","23.4%","57%","79%",26,38,93,3.1,"75.8%","22.1%","57%",74,67,-0.5,4.5,"12.5%",174,"10.6%","16.0%",0.32,0.5
"Varus","ADC",22,"23.4%","10.6%","34.0%","36%","41%",62,42,98,3.8,"68.4%","15.2%","9%",29,-1,3.8,9.7,"33.2%",496,"26.8%","27.8%",0.4,0.39
"Veigar","Middle",1,"1.1%","0.0%","1.1%","100%","100%",4,0,2,6,"66.7%","0.0%","0%",-308,-434,-13,8.3,"24.9%",446,"29.6%","25.4%",0.65,0.08
"Vel'Koz","Middle",1,"1.1%","0.0%","1.1%","0%","100%",1,2,2,1.5,"50.0%","15.4%","0%",-156,210,-3,8.1,"20.3%",333,"25.4%","21.2%",0.66,0.15
"Viktor","Middle",12,"12.8%","4.3%","17.0%","50%","83%",31,13,52,6.4,"68.0%","10.6%","25%",-311,-59,-3.9,9.2,"30.4%",635,"36.2%","26.4%",0.43,0.23
"Vladimir","Middle",1,"1.1%","3.2%","5.3%","100%","100%",3,0,7,10,"66.7%","0.0%","0%",35,28,1,8.4,"21.8%",475,"29.6%","21.2%",0.43,0.17
"Vladimir","Top",1,"1.1%","3.2%","5.3%","100%","100%",2,1,2,4,"40.0%","25.0%","0%",222,816,-4,9.4,"34.6%",375,"20.4%","24.5%",0.34,0.24
"Xayah","ADC",22,"23.4%","29.8%","53.2%","68%","86%",81,25,99,7.2,"69.8%","12.2%","18%",-130,-69,-1.8,9.8,"34.7%",448,"26.2%","28.9%",0.42,0.32
"Yasuo","Middle",4,"4.3%","3.2%","7.4%","50%","25%",6,13,17,1.8,"63.9%","22.8%","0%",-201,-83,0.3,8,"24.4%",339,"22.8%","23.1%",0.48,0.21
"Yuumi","Support",7,"7.4%","26.6%","34.0%","29%","57%",7,13,40,3.6,"87.0%","13.7%","29%",-238,122,-13.9,0.2,"0.5%",266,"15.1%","8.0%",1.07,0.09
"Zac","Jungle",1,"1.1%","0.0%","3.2%","0%","100%",1,5,2,0.6,"60.0%","33.3%","0%",-218,-99,-3,4.6,"12.0%",198,"14.9%","14.8%",0.33,0.3
"Zac","Top",2,"2.1%","0.0%","3.2%","0%","100%",0,9,6,0.7,"42.9%","23.7%","0%",-899,-692,-23,6.3,"22.4%",318,"18.3%","18.2%",0.44,0.06
"Ziggs","Middle",1,"1.1%","0.0%","2.1%","0%","0%",2,2,1,1.5,"50.0%","11.8%","0%",-511,-750,-2,8.3,"25.8%",629,"33.3%","24.3%",0.54,0.08
"Ziggs","Support",1,"1.1%","0.0%","2.1%","100%","100%",0,0,7,7,"53.8%","0.0%","0%",500,519,-12,0.5,"2.6%",308,"15.7%","12.0%",1.43,0.16
"Zilean","Middle",2,"2.1%","4.3%","6.4%","50%","100%",7,2,12,9.5,"79.2%","11.8%","0%",-135,51,-6.5,8.3,"26.9%",453,"25.1%","23.8%",0.43,0.09
"Zoe","Middle",33,"35.1%","22.3%","57.4%","52%","52%",93,59,154,4.2,"72.4%","16.9%","9%",57,-22,0.4,7.7,"23.1%",549,"32.2%","22.6%",0.47,0.17
