"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ekko","Middle",4,"4.4%","3.3%","7.7%","25%","100%",13,10,15,2.8,"65.1%","21.7%","0%",38,200,-1,10.1,"27.9%",499,"25.0%","27.1%",0.48,0.19
"Ezreal","ADC",48,"52.7%","28.6%","81.3%","40%","54%",146,74,173,4.3,"65.6%","12.6%","19%",49,73,-0.3,9.4,"29.8%",608,"32.8%","26.7%",0.46,0.25
"Fiddlesticks","Middle",2,"2.2%","1.1%","3.3%","50%","0%",4,7,15,2.7,"59.4%","22.6%","50%",6,-237,-7.5,6.8,"21.0%",317,"17.0%","19.6%",0.06,0.23
"Galio","Middle",14,"15.4%","23.1%","38.5%","64%","36%",35,26,116,5.8,"77.4%","20.0%","43%",-57,-116,-7.7,8.4,"24.5%",379,"19.0%","22.1%",0.38,0.15
"Gangplank","Top",12,"13.2%","17.6%","30.8%","83%","67%",33,25,79,4.5,"64.4%","21.0%","17%",-72,-158,1.3,8.4,"27.5%",646,"29.0%","25.5%",0.47,0.16
"Gnar","Top",2,"2.2%","0.0%","2.2%","50%","100%",2,5,9,2.2,"57.9%","21.7%","0%",-304,-412,-9,7.9,"24.2%",471,"25.6%","22.4%",0.39,0.42
"Graves","Jungle",31,"34.1%","36.3%","70.3%","55%","23%",75,61,172,4,"69.0%","18.9%","35%",-26,84,2.7,6.9,"21.4%",336,"17.8%","20.0%",0.3,0.45
"Hecarim","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",7,4,4,2.8,"78.6%","28.6%","0%",616,152,2,6.9,"23.8%",566,"31.7%","26.7%",0.27,0.24
"Irelia","Top",1,"1.1%","3.3%","4.4%","100%","100%",6,3,5,3.7,"64.7%","42.9%","100%",173,3,10,8.2,"23.8%",404,"22.4%","23.4%",0.59,0.16
"Ivern","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",0,4,3,0.8,"100.0%","22.2%","100%",-348,-509,-15,4.6,"12.6%",95,"8.0%","15.1%",0.27,0.27
"Jarvan IV","Jungle",3,"3.3%","1.1%","4.4%","33%","67%",1,13,28,2.2,"82.9%","27.7%","33%",-256,-193,-4,5.1,"13.4%",189,"10.6%","15.9%",0.39,0.32
"Jayce","Middle",1,"1.1%","27.5%","41.8%","0%","100%",3,2,3,3,"100.0%","16.7%","0%",-225,-360,-14,8.8,"25.4%",559,"33.9%","24.1%",0.32,0.5
"Jayce","Top",12,"13.2%","27.5%","41.8%","58%","67%",38,33,37,2.3,"63.6%","25.2%","8%",-167,-244,-0.8,8.5,"26.1%",641,"33.5%","24.1%",0.46,0.25
"Jhin","ADC",1,"1.1%","1.1%","2.2%","0%","100%",2,3,0,0.7,"100.0%","21.4%","0%",-105,-111,-5,8.2,"27.9%",238,"19.7%","27.3%",0.35,0.19
"Kai'Sa","ADC",6,"6.6%","1.1%","7.7%","33%","83%",23,10,16,3.9,"68.4%","16.4%","0%",-68,-208,-1.3,9.7,"30.5%",471,"27.2%","27.9%",0.45,0.24
"Kalista","ADC",19,"20.9%","46.2%","67.0%","53%","53%",80,43,74,3.6,"71.0%","18.7%","21%",119,151,6.1,9.5,"30.4%",436,"22.8%","27.2%",0.51,0.33
"Karma","Middle",3,"3.3%","42.9%","64.8%","33%","67%",2,9,19,2.3,"80.8%","31.0%","67%",421,119,13.3,7,"15.9%",270,"15.0%","19.1%",0.58,0.1
"Karma","Support",14,"15.4%","42.9%","64.8%","29%","14%",5,33,103,3.3,"75.0%","17.8%","29%",79,-57,-0.8,1,"2.7%",167,"8.9%","8.2%",1.51,0.36
"Karma","Top",3,"3.3%","42.9%","64.8%","33%","67%",3,8,23,3.3,"83.9%","20.0%","67%",-20,-145,3.3,7.1,"20.7%",467,"26.3%","20.1%",0.5,0.3
"Karthus","Jungle",1,"1.1%","1.1%","3.3%","0%","100%",3,3,0,1,"100.0%","33.3%","0%",468,689,4,7,"18.3%",367,"32.1%","24.5%",0.24,0.24
"Karthus","Middle",1,"1.1%","1.1%","3.3%","0%","100%",7,2,4,5.5,"91.7%","14.3%","0%",-462,103,-3,8.9,"28.6%",873,"47.0%","30.2%",0.47,0.08
"Kassadin","Middle",2,"2.2%","1.1%","3.3%","0%","100%",1,6,3,0.7,"50.0%","20.0%","50%",-1403,-708,-26,8.3,"28.0%",171,"16.8%","23.9%",0.41,0.11
"Kayle","Top",2,"2.2%","2.2%","4.4%","50%","100%",2,3,8,3.3,"50.0%","18.8%","0%",-197,-215,-6,9.3,"30.1%",448,"24.8%","24.8%",0.44,0.33
