"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gragas","Jungle",1,"0.9%","8.0%","29.5%","0%","-",0,5,7,1.4,"58.3%","38.5%","0%",-51,764,9,2.9,"9.0%",132,"9.4%","12.2%",0.41,0.2
"Gragas","Top",23,"20.5%","8.0%","29.5%","43%","-",49,50,104,3.1,"54.1%","17.4%","13%",62,168,3.6,8,"27.8%",403,"22.4%","22.5%",0.38,0.07
"Graves","ADC",1,"0.9%","0.0%","0.9%","100%","-",5,3,8,4.3,"92.9%","37.5%","100%",190,142,6,7.3,"24.4%",509,"25.0%","23.8%",0.12,0
"Irelia","Top",13,"11.6%","0.9%","12.5%","54%","-",29,40,55,2.1,"61.8%","26.3%","31%",27,17,2.8,7.1,"25.5%",315,"17.7%","21.9%",0.42,0.08
"Jarvan IV","Jungle",11,"9.8%","0.9%","10.7%","27%","-",12,38,83,2.5,"87.2%","24.7%","18%",-92,-146,-1.9,3.2,"10.8%",154,"9.3%","15.3%",0.42,0.23
"Jax","Top",24,"21.4%","25.9%","47.3%","38%","-",54,67,70,1.9,"55.1%","23.4%","38%",-90,-253,-6.7,7.6,"28.4%",292,"18.0%","23.1%",0.46,0.05
"Jayce","Top",1,"0.9%","0.9%","1.8%","0%","-",0,2,0,0,"-","16.7%","0%",-43,30,-1,7.1,"24.0%",544,"38.4%","24.2%",0.3,0.18
"Jinx","ADC",21,"18.8%","0.9%","19.6%","38%","-",90,47,93,3.9,"71.2%","18.1%","19%",-138,-143,-2.1,8.6,"31.5%",484,"30.1%","26.4%",0.21,0.15
"Karma","Support",1,"0.9%","0.0%","0.9%","0%","-",1,3,1,0.7,"66.7%","13.0%","0%",-551,582,1,0.7,"3.3%",214,"15.4%","13.1%",1.15,0.29
"Karthus","Middle",1,"0.9%","0.0%","0.9%","0%","-",2,3,0,0.7,"40.0%","20.0%","0%",-140,-113,-9,9.3,"29.6%",455,"35.4%","27.4%",0.18,0.07
"Kassadin","Middle",14,"12.5%","77.7%","90.2%","50%","-",53,24,62,4.8,"68.5%","16.2%","7%",-9,-83,-3.8,7.8,"27.2%",484,"26.1%","23.4%",0.3,0.14
